id,area,type,name,sub_name,class,
1,ワールドバザール,アトラクション,オムニバス,１.オムニバス,3,
2,ワールドバザール,アトラクション,ペニーアーケード,,3,
3,アドベンチャーランド,アトラクション,ウエスタンリバー鉄道,２.ウエスタンリバー鉄道,7,
4,アドベンチャーランド,アトラクション,カリブの海賊,３.カリブの海賊,7,
5,アドベンチャーランド,アトラクション,ジャングルクルーズ：ワイルドライフ・エクスぺディション,４.ジャングルクルーズ,7,
6,アドベンチャーランド,アトラクション,スイスファミリー・ツリーハウス,５.スイスファイミリーツリーハウス,3,
7,アドベンチャーランド,アトラクション,魅惑のチキルーム：スティッチ・プレゼンツ “アロハ・エ・コモ・マイ！”,６.魅惑のチキルーム.スティッチ.プレゼンツアロハ.エ.コモ.マイ.,7,
8,ウエスタンランド,アトラクション,ウエスタンランド・シューティングギャラリー,８.ウエスタンランド.シューティングギャラリー,3,
9,ウエスタンランド,アトラクション,カントリーベア・シアター,９.カントリーベア.シアター,7,
10,ウエスタンランド,アトラクション,蒸気船マークトウェイン号,１１.蒸気船マークトウェイン号,3,
11,ウエスタンランド,アトラクション,トムソーヤ島いかだ,１０.トムソーヤ島いかだ,3,
12,ウエスタンランド,アトラクション,ビッグサンダー・マウンテン,７.ビッグサンダー.マウンテン,15,
13,クリッターカントリー,アトラクション,スプラッシュ・マウンテン,１２.スプラッシュ.マウンテン,15,
14,クリッターカントリー,アトラクション,ビーバーブラザーズのカヌー探検,１３.ビーバーブラザーズのカヌー探険,3,
15,ファンタジーランド,アトラクション,アリスのティーパーティー,１６.アリスのティーパーティー,3,
16,ファンタジーランド,アトラクション,イッツ・ア・スモールワールド,１７.イッツ.ア.スモールワールド,7,
17,ファンタジーランド,アトラクション,キャッスルカルーセル,１８.キャッスルカルーセル,3,
18,ファンタジーランド,アトラクション,白雪姫と七人のこびと,２３.白雪姫と七人のこびと,7,
19,ファンタジーランド,アトラクション,シンデレラのフェアリーテイル・ホール,１９.シンデレラのフェアリーテイル.ホール,7,
20,ファンタジーランド,アトラクション,空飛ぶダンボ,２４.空飛ぶダンボ,3,
21,ファンタジーランド,アトラクション,ピノキオの冒険旅行,２０.ピノキオの冒険旅行,7,
22,ファンタジーランド,アトラクション,ピーターパン空の旅,２１.ピーターパン空の旅,7,
23,ファンタジーランド,アトラクション,プーさんのハニーハント,１４.プーさんのハニーハント,7,
24,ファンタジーランド,アトラクション,ホーンテッドマンション,１５.ホーンテッドマンション,15,
25,ファンタジーランド,アトラクション,ミッキーのフィルハーマジック,２２.ミッキーのフィルハーマジック,7,
26,トゥーンタウン,アトラクション,ガジェットのゴーコースター,２５.ガジェットのゴーコースター,3,
27,トゥーンタウン,アトラクション,グーフィーのペイント＆プレイハウス,２６.グーフィーのペイント.プレイハウス,3,
28,トゥーンタウン,アトラクション,チップとデールのツリーハウス,２７.チップとデールのツリーハウス,3,
29,トゥーンタウン,アトラクション,トゥーンパーク,,3,
30,トゥーンタウン,アトラクション,ドナルドのボート,２８.ドナルドのボート,3,
31,トゥーンタウン,アトラクション,ミニーの家,２９.ミニーの家,7,
32,トゥーンタウン,アトラクション,ロジャーラビットのカートゥーンスピン,３０.ロジャーラビットのカートゥーンスピン,7,
33,トゥモローランド,アトラクション,スタージェット,,3,
34,トゥモローランド,アトラクション,スター・ツアーズ：ザ・アドベンチャーズ・コンティニュー,３１.スター.ツアーズ.ザ.アドベンチャーズ.コンティニュー,7,
35,トゥモローランド,アトラクション,スティッチ・エンカウンター,３７.スティッチ.エンカウンター.キャプテンＥＯ.ミクロアドベンチャー..,7,
36,トゥモローランド,アトラクション,スペース・マウンテン,３２.スペース.マウンテン,15,
37,トゥモローランド,アトラクション,バズ・ライトイヤーのアストロブラスター,３３.バズライトイヤーのアストロブラスター,15,
