"","日付","TIME","れすとらん北齋","ｱｲｽｸﾘｰﾑｺｰﾝ","ｲﾍﾞﾝﾄﾌﾞｰｽ.ｼﾝﾃﾞﾚﾗ城前ﾌﾟﾗｻﾞ.ｱﾄﾞﾍﾞﾝﾁｬｰﾗﾝﾄﾞ側.","ｲﾍﾞﾝﾄﾌﾞｰｽ.ｼﾝﾃﾞﾚﾗ城前ﾌﾟﾗｻﾞ.ﾄｩﾓﾛｰﾗﾝﾄﾞ側.","ｲﾍﾞﾝﾄﾌﾞｰｽ.ｼﾝﾃﾞﾚﾗ城前ﾌﾟﾗｻﾞ.ﾜｰﾙﾄﾞﾊﾞｻﾞｰﾙ側.","ｲｰｽﾄｻｲﾄﾞ.ｶﾌｪ","ｸﾞﾚｰﾄｱﾒﾘｶﾝ.ﾜｯﾌﾙｶﾝﾊﾟﾆｰ","ｽｳｨｰﾄﾊｰﾄ.ｶﾌｪ","ｾﾝﾀｰｽﾄﾘｰﾄ.ｺｰﾋｰﾊｳｽ","ﾘﾌﾚｯｼｭﾒﾝﾄｺｰﾅｰ","ｶﾌｪ.ｵｰﾘﾝｽﾞ","ｸﾘｽﾀﾙﾊﾟﾚｽ.ﾚｽﾄﾗﾝ","ｻﾞ.ｶﾞｾﾞｰﾎﾞ","ｽｷｯﾊﾟｰｽﾞ.ｷﾞｬﾚｰ","ｽｸｳｨｰｻﾞｰｽﾞ.ﾄﾛﾋﾟｶﾙ.ｼﾞｭｰｽﾊﾞｰ","ﾁｬｲﾅﾎﾞｲｼﾞｬｰ","ﾌﾞﾙｰﾊﾞｲﾕｰ.ﾚｽﾄﾗﾝ","ﾎﾞｲﾗｰﾙｰﾑ.ﾊﾞｲﾂ","ﾛｲﾔﾙｽﾄﾘｰﾄ.ﾍﾞﾗﾝﾀﾞ","ﾊﾟｰｸｻｲﾄﾞﾜｺﾞﾝ","ﾌﾚｯｼｭﾌﾙｰﾂｵｱｼｽ","ｷｬﾝﾃｨｰﾝ","ｷｬﾝﾌﾟ.ｳｯﾄﾞﾁｬｯｸ.ｷｯﾁﾝ","ﾊﾝｸﾞﾘｰﾍﾞｱ.ﾚｽﾄﾗﾝ","ﾌﾟﾗｻﾞﾊﾟﾋﾞﾘｵﾝ.ﾚｽﾄﾗﾝ","ﾍﾟｺｽﾋﾞﾙ.ｶﾌｪ","ﾁｬｯｸﾜｺﾞﾝ","ｸﾞﾗﾝﾏ.ｻﾗのｷｯﾁﾝ","ﾗｹｯﾃｨのﾗｸｰﾝｻﾙｰﾝ","ｷｬﾌﾟﾃﾝﾌｯｸｽ.ｷﾞｬﾚｰ","ｸｲｰﾝ.ｵﾌﾞﾊｰﾄのﾊﾞﾝｹｯﾄﾎｰﾙ","ｸﾚｵｽﾞ","ﾄﾙﾊﾞﾄﾞｰﾙﾀﾊﾞﾝ","ﾋﾞﾚｯｼﾞﾍﾟｲｽﾄﾘｰ","ﾋｭｰｲ.ﾃﾞｭｰｲ.ﾙｰｲのｸﾞｯﾄﾞﾀｲﾑ.ｶﾌｪ","ﾐｯｷｰのﾄﾚｰﾗｰ","ﾄｩｰﾝﾄｰﾝ.ﾄﾘｰﾄ","ｽﾍﾟｰｽﾌﾟﾚｰｽ.ﾌｰﾄﾞﾎﾟｰﾄ","ｿﾌﾄﾗﾝﾃﾞｨﾝｸﾞ.2F.","ﾄｩﾓﾛｰﾗﾝﾄﾞ.ﾃﾗｽ","ﾊﾟﾝ.ｷﾞｬﾗｸﾃｨｯｸ.ﾋﾟｻﾞ.ﾎﾟｰﾄ","ﾌﾟﾗｽﾞﾏ.ﾚｲｽﾞ.ﾀﾞｲﾅｰ","ﾗｲﾄﾊﾞｲﾄ.ｻﾃﾗｲﾄ","ｷｬﾘｯｼﾞﾊｳｽ.ﾘﾌﾚｯｼｭﾒﾝﾄ"
"1","5月27日","08:15","-","-","-","-","-","-","-","0～20","0～20","0～20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0～20","-"
"2","5月27日","08:45","-","-","-","-","-","-","0～20","0～20","0～20","0～20","-","-","0～20","-","-","-","-","-","-","-","-","-","-","-","-","-","0～20","-","-","0～20","-","-","0～20","-","0～20","-","-","-","-","0～20","0～20","0～20","0～20","-"
"3","5月27日","09:15","-","0～20","-","-","-","-","0～20","0～20","0～20","0～20","0～20","-","0～20","0～20","-","-","-","0～20","0～20","0～20","-","-","0～20","0～20","-","0～20","0～20","-","-","0～20","-","-","0～20","0～20","0～20","0～20","0～20","-","-","0～20","0～20","0～20","0～20","-"
"4","5月27日","09:45","-","0～20","-","-","-","-","0～20","0～20","0～20","0～20","0～20","-","0～20","0～20","0～20","-","-","0～20","0～20","0～20","-","-","0～20","0～20","-","0～20","0～20","-","0～20","20～40","0～20","-","0～20","0～20","0～20","0～20","0～20","-","-","0～20","0～20","0～20","0～20","-"
"5","5月27日","10:15","-","0～20","-","-","-","-","0～20","0～20","0～20","0～20","0～20","0","0～20","0～20","0～20","0～20","-","0～20","0～20","0～20","-","-","0～20","0～20","0～20","0～20","0～20","0～20","20～40","20～40","0～20","-","0～20","0～20","0～20","0～20","0～20","-","0～20","0～20","0～20","0～20","0～20","-"
"6","5月27日","10:45","15","0～20","-","-","-","0","0～20","0～20","0～20","0～20","0～20","20","0～20","0～20","0～20","0～20","100","0～20","0～20","0～20","0～20","-","0～20","0～20","0～20","0～20","0～20","0～20","20～40","20～40","0～20","-","0～20","0～20","20～40","0～20","0～20","-","0～20","0～20","0～20","0～20","15","-"
"7","5月27日","11:15","30","0～20","-","-","-","20","0～20","0～20","0～20","0～20","0～20","70","0～20","0～20","0～20","40以上","200","20～40","0～20","0～20","0～20","0～20","0～20","0～20","0～20","0～20","0～20","0～20","20～40","40以上","0～20","0～20","0～20","0～20","20～40","0～20","0～20","-","0～20","0～20","0～20","0～20","30","-"
"8","5月27日","11:45","30","0～20","-","-","-","30","0～20","0～20","20～40","0～20","0～20","90","0～20","0～20","0～20","40以上","200","20～40","0～20","0～20","0～20","0～20","0～20","0～20","0～20","0～20","0～20","0～20","20～40","40以上","40以上","0～20","0～20","20～40","20～40","0～20","0～20","-","0～20","0～20","0～20","0～20","30","-"
"9","5月27日","12:15","30","0～20","-","-","-","50","0～20","0～20","20～40","0～20","0～20","110","0～20","0～20","0～20","40以上","80","20～40","0～20","0～20","0～20","0～20","0～20","0～20","0～20","0～20","0～20","0～20","20～40","40以上","40以上","0～20","0～20","20～40","20～40","0～20","0～20","-","0～20","20～40","0～20","0～20","30","-"
"10","5月27日","12:45","30","0～20","-","-","-","80","40以上","0～20","20～40","0～20","0～20","110","0～20","0～20","0～20","40以上","80","20～40","0～20","0～20","0～20","0～20","0～20","40以上","0～20","0～20","0～20","0～20","20～40","40以上","40以上","0～20","20～40","20～40","20～40","0～20","0～20","-","0～20","20～40","0～20","0～20","30","-"
"11","5月27日","13:15","60","0～20","-","-","-","80","40以上","0～20","20～40","0～20","0～20","40","0～20","0～20","0～20","40以上","180","20～40","0～20","0～20","0～20","0～20","0～20","40以上","0～20","0～20","0～20","40以上","20～40","40以上","40以上","0～20","20～40","20～40","20～40","0～20","0～20","-","0～20","20～40","0～20","0～20","60","-"
"12","5月27日","13:45","60","0～20","-","-","-","80","40以上","0～20","40以上","0～20","0～20","40","0～20","0～20","0～20","40以上","120","20～40","0～20","0～20","0～20","0～20","0～20","40以上","0～20","0～20","0～20","40以上","20～40","40以上","40以上","0～20","20～40","20～40","20～40","0～20","0～20","-","0～20","20～40","0～20","0～20","60","-"
