,日付,時刻,気温,天気,１.オムニバス,２.ウエスタンリバー鉄道,３.カリブの海賊,４.ジャングルクルーズ,５.スイスファイミリーツリーハウス,６.魅惑のチキルーム：スティッチ・プレゼンツアロハ・エ・コモ・マイ！,７.ビッグサンダー・マウンテン,８.ウエスタンランド・シューティングギャラリー,９.カントリーベア・シアター,１０.トムソーヤ島いかだ,１１.蒸気船マークトウェイン号,１２.スプラッシュ・マウンテン,１３.ビーバーブラザーズのカヌー探険,１４.プーさんのハニーハント,１５.ホーンテッドマンション,１６.アリスのティーパーティー,１７.イッツ・ア・スモールワールド,１８.キャッスルカルーセル,１９.シンデレラのフェアリーテイル・ホール,２０.ピノキオの冒険旅行,２１.ピーターパン空の旅,２２.ミッキーのフィルハーマジック,２３.白雪姫と七人のこびと,２４.空飛ぶダンボ,２５.ガジェットのゴーコースター,２６.グーフィーのペイント＆プレイハウス,２７.チップとデールのツリーハウス,２８.ドナルドのボート,２９.ミニーの家,３０.ロジャーラビットのカートゥーンスピン,３１.スター・ツアーズ：ザ・アドベンチャーズ・コンティニュー,３２.スペース・マウンテン,３３.バズライトイヤーのアストロブラスター,３４.モンスターズ・インク“ライド＆ゴーシーク！”,３５.グランドサーキット・レースウェイ,３６.スタージェット,３７.スティッチ・エンカウンター（キャプテンＥＯ・ミクロアドベンチャー！）,３８.エントランスグリ（ベビーカー、車椅子レンタル側）,３９.エントランスグリ（メインストリート・ハウス側）,４０.ウッドチャック・グリーティングトレイル（デイジー）,４１.ウッドチャック・グリーティングトレイル（ドナルド）,４２.ミッキーの家とミート・ミッキー
1,5月27日,08:15,19.1,晴,-,10,5,5,-,-,50,0,-,-,-,50,-,40,60,13,5,0,5,5,20,0,0,10,0,0,0,0,0,0,5,30,60,60,-,-,10,100,70,15,25,80
2,5月27日,08:45,19.1,晴,-,10,5,5,-,-,80,0,-,-,-,100,-,60,100,25,10,10,5,5,35,10,20,45,5,15,5,0,0,10,15,70,70,80,-,-,10,100,70,50,60,90
3,5月27日,09:15,20.5,晴,0,10,15,5,0,5,120,5,0,0,0,140,10,60,100,40,20,25,5,20,50,15,20,40,15,20,5,0,0,25,30,100,60,90,-,-,25,90,-,30,50,75
4,5月27日,09:45,20.5,晴,0,20,15,30,0,5,100,15,5,0,0,140,10,60,82,40,20,20,5,-,50,20,20,40,30,20,5,0,10,25,40,80,82,90,-,-,30,-,-,30,35,70
5,5月27日,10:15,22,晴,10,20,30,40,0,5,90,15,5,0,0,110,20,60,82,35,20,20,15,30,45,25,25,45,25,20,5,0,10,25,30,100,82,90,-,-,30,-,-,40,45,70
6,5月27日,10:45,22,晴,10,15,30,35,0,5,70,25,5,0,0,100,20,60,82,40,20,30,15,15,45,15,20,45,25,20,5,0,10,30,30,100,60,100,-,-,30,-,-,10,35,70
7,5月27日,11:15,23.3,晴,10,15,20,30,0,5,70,25,-,0,0,120,20,60,82,20,15,30,15,15,45,15,20,45,20,20,5,0,10,30,25,80,55,100,-,-,25,-,-,30,35,70
8,5月27日,11:45,23.3,晴,10,10,20,25,0,5,70,25,5,0,0,120,20,60,65,50,15,15,10,15,45,15,20,45,10,10,5,0,10,15,40,80,60,70,-,-,15,-,-,35,35,40
9,5月27日,12:15,25,晴,10,20,30,35,0,5,80,45,5,0,0,130,45,90,82,50,30,30,20,20,45,25,25,50,20,15,5,0,10,30,40,80,-,90,-,-,40,100,80,60,65,60
10,5月27日,12:45,25,晴,10,20,30,40,0,5,100,45,5,0,0,140,45,60,82,50,30,35,20,20,45,25,25,50,20,25,5,0,20,35,45,80,60,90,-,-,35,90,60,45,55,75
